,size_map,mode,seed,ROC,PRC,F1,ACC,MCC
63,medium,Texh,42.0,0.43565832055867826,0.30445356150570346,0.33070866141732286,0.486404833836858,-0.06534860351073972
64,small,CAF,42.0,0.5576727642276423,0.38774041918860314,0.4324324324324324,0.5153846153846153,0.023552445747631615
65,small,CD8,42.0,0.4872967479674797,0.37437053321387537,0.4271844660194175,0.5461538461538461,0.054598807773596145
66,small,CIS,42.0,0.5170223577235773,0.3941450713024561,0.419047619047619,0.5307692307692308,0.030640460097899495
67,small,CKS,42.0,0.4626524390243903,0.3585626902028887,0.39285714285714285,0.47692307692307695,-0.051993177698842895
68,small,CTL,42.0,0.5035569105691058,0.39448922329722813,0.4230769230769231,0.5384615384615384,0.042588370997927935
69,small,CTLA4,42.0,0.46392276422764234,0.33493432765409525,0.34408602150537637,0.5307692307692308,-0.020618008881523663
70,small,FFT,24.0,0.5431910569105691,0.37300163913148343,0.2933333333333333,0.5923076923076923,0.04050202701973312
71,small,FFT,42.0,0.5431910569105691,0.37300163913148343,0.2933333333333333,0.5923076923076923,0.04050202701973312
72,small,FFT,64.0,0.4974593495934959,0.3672670352139523,0.3013698630136986,0.6076923076923076,0.07155428349071175
73,small,GEP,42.0,0.48170731707317066,0.3436591587233491,0.4748201438848921,0.43846153846153846,-0.020869596778242055
74,small,GeneBio,42.0,0.45858739837398377,0.3353001617574318,0.33333333333333337,0.47692307692307695,-0.0950456274339608
75,small,ICA,42.0,0.506859756097561,0.3904079512864632,0.4504504504504504,0.5307692307692308,0.05544638269754943
76,small,IFNG,42.0,0.521849593495935,0.39512307104086103,0.4962406015037594,0.4846153846153846,0.054122273313999616
77,small,IMPRES,42.0,0.47764227642276424,0.3444213286398857,0.2222222222222222,0.5153846153846153,-0.11663528614518702
78,small,IS,42.0,0.5251524390243902,0.37898724645705584,0.4727272727272728,0.5538461538461539,0.09917529914658775
79,small,LFT,24.0,0.5609756097560976,0.42614490763139706,0.26086956521739124,0.6076923076923076,0.05397151056165062
80,small,LFT,42.0,0.5223577235772358,0.43066102929111805,0.3055555555555555,0.6153846153846154,0.08785342505043266
81,small,LFT,64.0,0.5518292682926829,0.42063839466066477,0.32432432432432434,0.6153846153846154,0.09563650695950074
82,small,MIAS,42.0,0.4654471544715448,0.3550602579664861,0.4857142857142857,0.4461538461538462,0.0010783177012187019
83,small,NFT,42.0,0.49695121951219506,0.3555468955246889,0.5,0.49230769230769234,0.06615666472268086
84,small,NRS,42.0,0.38389227642276424,0.31597410007892024,0.31067961165048535,0.45384615384615384,-0.13897878342369926
85,small,NetBio,42.0,0.5048272357723578,0.39526429464307933,0.4077669902912621,0.5307692307692308,0.022335875907380242
86,small,PD1,42.0,0.513084349593496,0.3841662821124335,0.45528455284552843,0.4846153846153846,0.009927055958835663
87,small,PDL1,42.0,0.5138465447154472,0.3658997188342131,0.3655913978494624,0.5461538461538461,0.01288625555095229
88,small,PFT,24.0,0.5454776422764228,0.41244917697463124,0.23880597014925375,0.6076923076923076,0.04442670815345678
89,small,PFT,42.0,0.5182926829268293,0.40109932760031786,0.3098591549295775,0.6230769230769231,0.10474522845968769
90,small,PFT,64.0,0.5309959349593496,0.4180035738833644,0.31884057971014496,0.6384615384615384,0.14059245343837384
91,small,PGM,42.0,0.5238821138211383,0.3799450351960941,0.45528455284552843,0.4846153846153846,0.009927055958835663
92,small,TAM,42.0,0.5459857723577235,0.3722463281046113,0.38383838383838387,0.5307692307692308,0.0055245448319834346
93,small,TIDE,42.0,0.5050813008130082,0.45900774597966454,0.3846153846153846,0.5076923076923077,-0.021789399115218943
94,small,Teff,42.0,0.5002540650406504,0.40207486068166887,0.4380952380952381,0.5461538461538461,0.06276352310376186
95,small,Texh,42.0,0.49822154471544716,0.3599490917115601,0.38383838383838387,0.5307692307692308,0.0055245448319834346
