transfer,Texh,TAM,CTLA4,CAF,FFT,NRS,NetBio,TIDE,CKS,NFT,PD1,GeneBio,IFNG,PDL1,IS,PGM,CD8,IMPRES,CTL,MIAS,GEP,ICA,PFT,CIS,LFT,Teff
Rose$\mapsto$Liu,0.3715943266695306,0.4036472297988177,0.4941691516603465,0.376490395705613,0.3569104202834209,0.4396679937936887,0.4219467084733665,0.3541813991304577,0.4690762304511529,0.41778626132198,0.4200753204029864,0.444509427928826,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.462731881299053,0.4474543782876705,0.5080676380500873,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.4451952358839406,0.4562448858993153,0.4174136852877489,0.4522275698770757
Zhao$\mapsto$Ravi-1,0.376813546316939,0.4065924100520486,0.4962943447717439,0.3183123777264228,0.3849430761492162,0.4525744079145707,0.343177550393572,0.4960329954195095,0.3255965393226471,0.3351348904451824,0.5188059462968262,0.3025825726830422,0.4961916295675634,0.5277488799890673,0.316995402815375,0.4993580374693096,0.2967057808013048,0.4517043261792984,0.4738980217597379,0.4819408092550696,0.5444060747088393,0.4518039913072578,0.526680785262563,0.4680739636345671,0.4770686577417194,0.547054162075877
Riaz$\mapsto$Freeman,0.2785676989571777,0.3409232113232711,0.3597326197477346,0.4758650503703081,0.3211526327935202,0.3255147336610444,0.537643510682606,0.4080948684293335,0.4184505298958592,0.5524774691289229,0.4294562213198115,0.4609588470245154,0.4624410232036255,0.4012911710006098,0.4502177504461016,0.4871122993924913,0.4638628874285559,0.4053733123130406,0.4226406552910742,0.590692579457789,0.5732956728376987,0.4565250822676064,0.4202157152404919,0.4365644427432852,0.5222282629198656,0.4360127203175511
Gide$\mapsto$Snyder,0.3169956094325842,0.6396529824050832,0.3193974442924022,0.3412656554463277,0.4428180946038088,0.4250967053488061,0.3060296846011131,0.2541371744379262,0.4028629866865161,0.332997237356481,0.4837175254717272,0.3381613610356423,0.4328064559156996,0.4360222901576285,0.3915690518631695,0.5210313496027781,0.3412250865258384,0.4465347677532552,0.4401785140506944,0.2975351504238058,0.3262379951980792,0.638728314292224,0.65579332947754,0.7083840553765366,0.659305452950411,0.5664402124486158
IMmotion150$\mapsto$Liu,0.3715943266695306,0.4036472297988177,0.4941691516603465,0.376490395705613,0.4787379070509544,0.4396679937936887,0.4086209119960153,0.4985125149092787,0.4690762304511529,0.3611994883447398,0.4200753204029864,0.4429784786060839,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.4569079496041401,0.4474543782876705,0.5080676380500873,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.4587108364579358,0.4562448858993153,0.4287557212115778,0.4522275698770757
Ravi-1$\mapsto$Liu,0.3715943266695306,0.4036472297988177,0.4941691516603465,0.376490395705613,0.445630271165395,0.3859693440178461,0.4065920508494903,0.3541813991304577,0.4690762304511529,0.4321608953362378,0.4200753204029864,0.4500432376300588,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.4648957482716304,0.4474543782876705,0.5080676380500873,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.48338675406812,0.4562448858993153,0.5520451101557212,0.4522275698770757
Gide$\mapsto$Freeman,0.2785676989571777,0.3409232113232711,0.3597326197477346,0.4758650503703081,0.4339917267735895,0.3255147336610444,0.5147577942509376,0.4080948684293335,0.4184505298958592,0.554044272336039,0.4294562213198115,0.4548634005056819,0.4624410232036255,0.4012911710006098,0.4502177504461016,0.4667093430735071,0.4638628874285559,0.4053733123130406,0.4226406552910742,0.590692579457789,0.5732956728376987,0.4565250822676064,0.5186250528691115,0.4365644427432852,0.4440298045608465,0.4360127203175511
Choueiri$\mapsto$Liu,0.3881294284100959,0.3817534695124532,0.4941691516603465,0.4226810136590659,0.3721203757892688,0.4396679937936887,0.4783676582057771,0.4985125149092787,0.4034716695721346,0.5257164830090713,0.4200753204029864,0.4441045410368824,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.4494242137729571,0.4474543782876705,0.3773104329754733,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.4748446411338722,0.4562448858993153,0.4819809385694134,0.4522275698770757
Riaz$\mapsto$Allen,0.3809956593714955,0.4128444915220205,0.4557892457913202,0.3034688131682782,0.3247660277949491,0.389156353339984,0.3255051576420928,0.9999999999999998,0.4373925779837901,0.4476151213093661,0.3965479856057681,0.424496308148485,0.4604693901332982,0.3669200769047782,0.3913046882184203,0.5825745107514575,0.4260056683534974,0.5805166098269546,0.501631763214827,0.4086108084018267,0.443357617651673,0.4403066717115185,0.4093637406776145,0.4344258523245071,0.3842729561594787,0.4359394628899478
Freeman$\mapsto$Liu,0.3715943266695306,0.4036472297988177,0.4941691516603465,0.376490395705613,0.3590837939566614,0.3859693440178461,0.4138118909434569,0.4985125149092787,0.4690762304511529,0.5304354122032187,0.4200753204029864,0.4372885105092754,0.418896997913754,0.3764024402111809,0.4437337991245043,0.4514237852719994,0.4474543782876705,0.6915887850467289,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.4131312474571187,0.4562448858993153,0.4119862828821471,0.4522275698770757
